james-bannon,yes
pat-breen,yes
ray-butler,yes
jerry-buttimer,yes
eric-byrne,yes
joe-carey,yes
paudie-coffey,yes
-ine-collins,yes
michael-conaghan,yes
sean-conlan,yes
paul-connaughton,yes
ciara-conway,yes
noel-coonan,yes
marcella-corcoran-kennedy,yes
joe-costello,yes
simon-coveney,yes
michael-creed,yes
jim-daly,yes
john-deasy,yes
jimmy-deenihan,yes
pat-deering,yes
regina-doherty,yes
paschal-donohoe,yes
robert-dowds,yes
andrew-doyle,yes
bernard-durkan,yes
alan-farrell,yes
frank-feighan,yes
peter-fitzpatrick,yes
terence-flanagan,yes
brendan-griffin,yes
dominic-hannigan,yes
noel-harrington,yes
simon-harris,yes
tom-hayes,yes
martin-heydon,yes
brendan-howlin,yes
heather-humphreys,yes
kevin-humphreys,yes
derek-keating,yes
colm-keaveney,yes
paul-kehoe,yes
alan-kelly,yes
sean-kenny,yes
anthony-lawlor,yes
ciaran-lynch,yes
kathleen-lynch,yes
michael-mccarthy,yes
shane-mcentee,yes
nicky-mcfadden,yes
tony-mcloughlin,yes
michael-mcnamara,yes
eamonn-maloney,yes
peter-mathews,yes
olivia-mitchell,yes
mary-mitchell-o-connor,yes
michelle-mulherin,yes
dara-murphy,yes
eoghan-murphy,yes
gerald-nash,yes
dan-neville,yes
derek-nolan,yes
michael-noonen,yes
aodhan-o-r-ordain,yes
kieran-o-donnell,yes
patrick-o-donovan,yes
joe-o-reilly,yes
jan-o-sullivan,yes
john-perry,yes
ann-phelan,yes
john-paul-phelan,yes
michael-ring,yes
brendan-ryan,yes
alan-shatter,yes
arthur-spring,yes
emmet-stagg,yes
david-stanton,yes
billy-godfrey-timmins,yes
joanna-tuffy,yes
liam-twomey,yes
jack-wall,yes
brian-walsh,yes
alex-white,yes
richard-boyd-barrett,no
tommy-broughan,no
john-browne,no
dara-calleary,no
joan-collins,no
niall-collins,no
michael-colreavy,no
barry-cowen,no
sean-crowe,no
clare-daly,no
pearse-doherty,no
stephen-donnelly,no
timmy-dooley,no
martin-ferris,no
tom-fleming,no
noel-grealish,no
john-halligan,no
seamus-healy,no
michael-healy-rae,no
joe-higgins,no
billy-kelleher,no
seamus-kirk,no
padraig-maclochlainn,no
charlie-mcconalogue,no
mary-lou-mcdonald,no
finian-mcgrath,no
mattie-mcgrath,no
michael-mcgrath,no
john-mcguinness,no
sandra-mclellan,no
michael-moynihan,no
catheine-murphy,no
patrick-nulty,no
caoimhgh-n-o-caolain,no
sean-o-fearghail,no
aengus-o-snodaigh,no
jonathan-o-brien,no
maureen-o-sullivan,no
thomas-pringle,no
shane-peter-nathaniel-ross,no
roisin-shortall,no
brendan-smith,no
brian-stanley,no
peadar-t-ib-n,no
mick-wallace,no
anne-ferris,absent
ciaran-cannon,absent
dessie-ellis,absent
dinny-mcginley,absent
eamon-o-c-iv,absent
enda-kenny,absent
fergus-o-dowd,absent
gerry-adams,absent
joan-burton,absent
john-lyons,absent
john-o-mahony,absent
leo-varadkar,absent
lucinda-creighton,absent
luke-ming-flanagan,absent
michael-lowry,absent
micheal-martin,absent
richard-bruton,absent
ruairi-quinn,absent
sean-barrett,absent
sean-kyne,absent
willie-penrose,absent
