james-bannon,yes
tom-barry,yes
pat-breen,yes
richard-bruton,yes
ray-butler,yes
jerry-buttimer,yes
catherine-byrne,yes
eric-byrne,yes
ciaran-cannon,yes
paudie-coffey,yes
-ine-collins,yes
michael-conaghan,yes
sean-conlan,yes
paul-connaughton,yes
ciara-conway,yes
noel-coonan,yes
simon-coveney,yes
michael-creed,yes
jim-daly,yes
jimmy-deenihan,yes
pat-deering,yes
regina-doherty,yes
paschal-donohoe,yes
robert-dowds,yes
andrew-doyle,yes
damien-english,yes
alan-farrell,yes
peter-fitzpatrick,yes
charles-flanagan,yes
brendan-griffin,yes
noel-harrington,yes
simon-harris,yes
brian-hayes,yes
tom-hayes,yes
martin-heydon,yes
heather-humphreys,yes
kevin-humphreys,yes
derek-keating,yes
colm-keaveney,yes
paul-kehoe,yes
sean-kenny,yes
sean-kyne,yes
ciaran-lynch,yes
kathleen-lynch,yes
john-lyons,yes
eamonn-maloney,yes
peter-mathews,yes
michael-mccarthy,yes
nicky-mcfadden,yes
dinny-mcginley,yes
tony-mcloughlin,yes
michael-mcnamara,yes
mary-mitchell-o-connor,yes
michelle-mulherin,yes
dara-murphy,yes
eoghan-murphy,yes
gerald-nash,yes
dan-neville,yes
derek-nolan,yes
aodhan-o-r-ordain,yes
kieran-o-donnell,yes
patrick-o-donovan,yes
john-o-mahony,yes
joe-o-reilly,yes
jan-o-sullivan,yes
ann-phelan,yes
john-paul-phelan,yes
james-reilly,yes
michael-ring,yes
brendan-ryan,yes
alan-shatter,yes
arthur-spring,yes
billy-godfrey-timmins,yes
joanna-tuffy,yes
jack-wall,yes
brian-walsh,yes
alex-white,yes
gerry-adams,no
richard-boyd-barrett,no
tommy-broughan,no
john-browne,no
dara-calleary,no
joan-collins,no
niall-collins,no
michael-colreavy,no
barry-cowen,no
sean-crowe,no
clare-daly,no
pearse-doherty,no
luke-ming-flanagan,no
sean-fleming,no
tom-fleming,no
noel-grealish,no
john-halligan,no
seamus-healy,no
michael-healy-rae,no
billy-kelleher,no
seamus-kirk,no
michael-p-kitt,no
michael-lowry,no
micheal-martin,no
charlie-mcconalogue,no
mary-lou-mcdonald,no
finian-mcgrath,no
michael-mcgrath,no
john-mcguinness,no
sandra-mclellan,no
michael-moynihan,no
catheine-murphy,no
denis-naughten,no
caoimhgh-n-o-caolain,no
eamon-o-c-iv,no
sean-o-fearghail,no
jonathan-o-brien,no
willie-o-dea,no
maureen-o-sullivan,no
thomas-pringle,no
roisin-shortall,no
brendan-smith,no
brian-stanley,no
robert-troy,no
mick-wallace,no
anne-ferris,absent
brendan-howlin,absent
david-stanton,absent
dominic-hannigan,absent
eamon-gilmore,absent
fergus-o-dowd,absent
joe-costello,absent
john-perry,absent
leo-varadkar,absent
lucinda-creighton,absent
martin-ferris,absent
michael-noonen,absent
olivia-mitchell,absent
padraig-maclochlainn,absent
pat-rabbitte,absent
peadar-t-ib-n,absent
sean-barrett,absent
sean-sherlock,absent
shane-mcentee,absent
terence-flanagan,absent
willie-penrose,absent
