pat-breen,yes
joan-burton,yes
ray-butler,yes
jerry-buttimer,yes
catherine-byrne,yes
eric-byrne,yes
dara-calleary,yes
ciaran-cannon,yes
joe-carey,yes
paudie-coffey,yes
-ine-collins,yes
michael-conaghan,yes
sean-conlan,yes
paul-connaughton,yes
ciara-conway,yes
noel-coonan,yes
marcella-corcoran-kennedy,yes
simon-coveney,yes
barry-cowen,yes
michael-creed,yes
NOT FOUND: LucindaCreighton,yes
john-deasy,yes
pat-deering,yes
regina-doherty,yes
stephen-donnelly,yes
timmy-dooley,yes
robert-dowds,yes
bernard-durkan,yes
damien-english,yes
frank-feighan,yes
peter-fitzpatrick,yes
eamon-gilmore,yes
noel-grealish,yes
brendan-griffin,yes
dominic-hannigan,yes
noel-harrington,yes
simon-harris,yes
tom-hayes,yes
michael-healy-rae,yes
martin-heydon,yes
phil-hogan,yes
heather-humphreys,yes
kevin-humphreys,yes
derek-keating,yes
colm-keaveney,yes
paul-kehoe,yes
billy-kelleher,yes
alan-kelly,yes
enda-kenny,yes
sean-kenny,yes
michael-p-kitt,yes
sean-kyne,yes
anthony-lawlor,yes
ciaran-lynch,yes
michael-mccarthy,yes
charlie-mcconalogue,yes
shane-mcentee,yes
dinny-mcginley,yes
mattie-mcgrath,yes
michael-mcgrath,yes
joe-mchugh,yes
tony-mcloughlin,yes
michael-mcnamara,yes
eamonn-maloney,yes
peter-mathews,yes
mary-mitchell-o-connor,yes
michelle-mulherin,yes
dara-murphy,yes
eoghan-murphy,yes
gerald-nash,yes
denis-naughten,yes
derek-nolan,yes
eamon-o-c-iv,yes
sean-o-fearghail,yes
kieran-o-donnell,yes
patrick-o-donovan,yes
fergus-o-dowd,yes
john-o-mahony,yes
ann-phelan,yes
john-paul-phelan,yes
michael-ring,yes
alan-shatter,yes
brendan-smith,yes
arthur-spring,yes
emmet-stagg,yes
robert-troy,yes
joanna-tuffy,yes
liam-twomey,yes
brian-walsh,yes
alex-white,yes
gerry-adams,no
richard-boyd-barrett,no
tommy-broughan,no
michael-colreavy,no
sean-crowe,no
pearse-doherty,no
dessie-ellis,no
luke-ming-flanagan,no
seamus-healy,no
joe-higgins,no
mary-lou-mcdonald,no
finian-mcgrath,no
sandra-mclellan,no
catheine-murphy,no
caoimhgh-n-o-caolain,no
aengus-o-snodaigh,no
jonathan-o-brien,no
maureen-o-sullivan,no
thomas-pringle,no
shane-peter-nathaniel-ross,no
roisin-shortall,no
brian-stanley,no
alan-farrell,absent
andrew-doyle,absent
anne-ferris,absent
aodhan-o-r-ordain,absent
billy-godfrey-timmins,absent
brendan-howlin,absent
brendan-ryan,absent
brian-hayes,absent
charles-flanagan,absent
clare-daly,absent
dan-neville,absent
david-stanton,absent
frances-fitzgerald,absent
jack-wall,absent
james-bannon,absent
james-reilly,absent
jan-o-sullivan,absent
jim-daly,absent
jimmy-deenihan,absent
joan-collins,absent
joe-costello,absent
joe-o-reilly,absent
john-browne,absent
john-halligan,absent
john-lyons,absent
john-mcguinness,absent
john-perry,absent
kathleen-lynch,absent
leo-varadkar,absent
lucinda-creighton,absent
martin-ferris,absent
michael-lowry,absent
michael-moynihan,absent
michael-noonen,absent
micheal-martin,absent
mick-wallace,absent
niall-collins,absent
nicky-mcfadden,absent
olivia-mitchell,absent
padraig-maclochlainn,absent
paschal-donohoe,absent
pat-rabbitte,absent
patrick-nulty,absent
peadar-t-ib-n,absent
richard-bruton,absent
ruairi-quinn,absent
seamus-kirk,absent
sean-barrett,absent
sean-fleming,absent
sean-sherlock,absent
terence-flanagan,absent
tom-barry,absent
tom-fleming,absent
willie-o-dea,absent
willie-penrose,absent
