james-bannon,yes
pat-breen,yes
joan-burton,yes
ray-butler,yes
jerry-buttimer,yes
catherine-byrne,yes
eric-byrne,yes
joe-carey,yes
paudie-coffey,yes
michael-conaghan,yes
sean-conlan,yes
paul-connaughton,yes
ciara-conway,yes
noel-coonan,yes
marcella-corcoran-kennedy,yes
simon-coveney,yes
pat-deering,yes
paschal-donohoe,yes
robert-dowds,yes
andrew-doyle,yes
bernard-durkan,yes
damien-english,yes
alan-farrell,yes
frank-feighan,yes
frances-fitzgerald,yes
peter-fitzpatrick,yes
charles-flanagan,yes
eamon-gilmore,yes
brendan-griffin,yes
simon-harris,yes
brian-hayes,yes
tom-hayes,yes
martin-heydon,yes
phil-hogan,yes
brendan-howlin,yes
heather-humphreys,yes
kevin-humphreys,yes
derek-keating,yes
paul-kehoe,yes
alan-kelly,yes
enda-kenny,yes
sean-kenny,yes
sean-kyne,yes
anthony-lawlor,yes
john-lyons,yes
michael-mccarthy,yes
shane-mcentee,yes
dinny-mcginley,yes
tony-mcloughlin,yes
michael-mcnamara,yes
eamonn-maloney,yes
peter-mathews,yes
mary-mitchell-o-connor,yes
olivia-mitchell,yes
eoghan-murphy,yes
gerald-nash,yes
dan-neville,yes
derek-nolan,yes
michael-noonen,yes
aodhan-o-r-ordain,yes
kieran-o-donnell,yes
patrick-o-donovan,yes
joe-o-reilly,yes
ann-phelan,yes
john-paul-phelan,yes
pat-rabbitte,yes
james-reilly,yes
michael-ring,yes
brendan-ryan,yes
sean-sherlock,yes
emmet-stagg,yes
david-stanton,yes
billy-godfrey-timmins,yes
joanna-tuffy,yes
liam-twomey,yes
NOT FOUND: LeoVaradkar,yes
jack-wall,yes
brian-walsh,yes
alex-white,yes
gerry-adams,no
richard-boyd-barrett,no
tommy-broughan,no
dara-calleary,no
joan-collins,no
michael-colreavy,no
barry-cowen,no
sean-crowe,no
clare-daly,no
pearse-doherty,no
stephen-donnelly,no
timmy-dooley,no
dessie-ellis,no
martin-ferris,no
luke-ming-flanagan,no
tom-fleming,no
john-halligan,no
seamus-healy,no
joe-higgins,no
billy-kelleher,no
seamus-kirk,no
michael-lowry,no
charlie-mcconalogue,no
mary-lou-mcdonald,no
mattie-mcgrath,no
michael-mcgrath,no
sandra-mclellan,no
micheal-martin,no
catheine-murphy,no
patrick-nulty,no
caoimhgh-n-o-caolain,no
eamon-o-c-iv,no
sean-o-fearghail,no
aengus-o-snodaigh,no
jonathan-o-brien,no
willie-o-dea,no
maureen-o-sullivan,no
shane-peter-nathaniel-ross,no
roisin-shortall,no
brendan-smith,no
brian-stanley,no
peadar-t-ib-n,no
robert-troy,no
mick-wallace,no
-ine-collins,absent
alan-shatter,absent
anne-ferris,absent
ciaran-cannon,absent
ciaran-lynch,absent
colm-keaveney,absent
denis-naughten,absent
dominic-hannigan,absent
fergus-o-dowd,absent
jan-o-sullivan,absent
joe-costello,absent
joe-mchugh,absent
john-mcguinness,absent
kathleen-lynch,absent
leo-varadkar,absent
lucinda-creighton,absent
michael-healy-rae,absent
michael-moynihan,absent
michelle-mulherin,absent
nicky-mcfadden,absent
ruairi-quinn,absent
sean-barrett,absent
sean-fleming,absent
terence-flanagan,absent
thomas-pringle,absent
tom-barry,absent
willie-penrose,absent
