james-bannon,yes
tom-barry,yes
richard-boyd-barrett,yes
pat-breen,yes
ray-butler,yes
jerry-buttimer,yes
catherine-byrne,yes
eric-byrne,yes
joe-carey,yes
-ine-collins,yes
michael-conaghan,yes
sean-conlan,yes
paul-connaughton,yes
ciara-conway,yes
noel-coonan,yes
marcella-corcoran-kennedy,yes
michael-creed,yes
jim-daly,yes
john-deasy,yes
jimmy-deenihan,yes
pat-deering,yes
regina-doherty,yes
stephen-donnelly,yes
robert-dowds,yes
bernard-durkan,yes
damien-english,yes
alan-farrell,yes
frank-feighan,yes
frances-fitzgerald,yes
peter-fitzpatrick,yes
terence-flanagan,yes
eamon-gilmore,yes
brendan-griffin,yes
john-halligan,yes
dominic-hannigan,yes
noel-harrington,yes
simon-harris,yes
brian-hayes,yes
tom-hayes,yes
michael-healy-rae,yes
martin-heydon,yes
phil-hogan,yes
heather-humphreys,yes
kevin-humphreys,yes
derek-keating,yes
colm-keaveney,yes
paul-kehoe,yes
alan-kelly,yes
sean-kenny,yes
anthony-lawlor,yes
ciaran-lynch,yes
kathleen-lynch,yes
shane-mcentee,yes
joe-mchugh,yes
tony-mcloughlin,yes
michael-mcnamara,yes
eamonn-maloney,yes
peter-mathews,yes
olivia-mitchell,yes
mary-mitchell-o-connor,yes
michelle-mulherin,yes
catheine-murphy,yes
dara-murphy,yes
eoghan-murphy,yes
gerald-nash,yes
dan-neville,yes
derek-nolan,yes
michael-noonen,yes
patrick-nulty,yes
aodhan-o-r-ordain,yes
kieran-o-donnell,yes
patrick-o-donovan,yes
joe-o-reilly,yes
jan-o-sullivan,yes
NOT FOUND: WilliamPenrose,yes
john-perry,yes
ann-phelan,yes
john-paul-phelan,yes
thomas-pringle,yes
james-reilly,yes
michael-ring,yes
brendan-ryan,yes
alan-shatter,yes
sean-sherlock,yes
arthur-spring,yes
emmet-stagg,yes
david-stanton,yes
billy-godfrey-timmins,yes
joanna-tuffy,yes
jack-wall,yes
brian-walsh,yes
alex-white,yes
tommy-broughan,no
dara-calleary,no
joan-collins,no
niall-collins,no
michael-colreavy,no
barry-cowen,no
sean-crowe,no
clare-daly,no
pearse-doherty,no
martin-ferris,no
sean-fleming,no
tom-fleming,no
seamus-healy,no
joe-higgins,no
seamus-kirk,no
michael-p-kitt,no
padraig-maclochlainn,no
charlie-mcconalogue,no
mary-lou-mcdonald,no
finian-mcgrath,no
michael-mcgrath,no
john-mcguinness,no
sandra-mclellan,no
michael-moynihan,no
caoimhgh-n-o-caolain,no
sean-o-fearghail,no
aengus-o-snodaigh,no
jonathan-o-brien,no
willie-o-dea,no
maureen-o-sullivan,no
roisin-shortall,no
brendan-smith,no
brian-stanley,no
peadar-t-ib-n,no
andrew-doyle,absent
anne-ferris,absent
billy-kelleher,absent
brendan-howlin,absent
ciaran-cannon,absent
dessie-ellis,absent
dinny-mcginley,absent
eamon-o-c-iv,absent
enda-kenny,absent
fergus-o-dowd,absent
gerry-adams,absent
joan-burton,absent
john-lyons,absent
john-o-mahony,absent
leo-varadkar,absent
lucinda-creighton,absent
luke-ming-flanagan,absent
michael-lowry,absent
micheal-martin,absent
mick-wallace,absent
nicky-mcfadden,absent
noel-grealish,absent
paschal-donohoe,absent
richard-bruton,absent
ruairi-quinn,absent
sean-barrett,absent
sean-kyne,absent
timmy-dooley,absent
willie-penrose,absent
