james-bannon,yes
tom-barry,yes
pat-breen,yes
joan-burton,yes
ray-butler,yes
jerry-buttimer,yes
eric-byrne,yes
catherine-byrne,yes
joe-carey,yes
paudie-coffey,yes
michael-conaghan,yes
sean-conlan,yes
paul-connaughton,yes
ciara-conway,yes
noel-coonan,yes
marcella-corcoran-kennedy,yes
joe-costello,yes
simon-coveney,yes
michael-creed,yes
jim-daly,yes
john-deasy,yes
jimmy-deenihan,yes
pat-deering,yes
regina-doherty,yes
paschal-donohoe,yes
robert-dowds,yes
andrew-doyle,yes
bernard-durkan,yes
damien-english,yes
alan-farrell,yes
frank-feighan,yes
frances-fitzgerald,yes
peter-fitzpatrick,yes
charles-flanagan,yes
eamon-gilmore,yes
brendan-griffin,yes
dominic-hannigan,yes
noel-harrington,yes
simon-harris,yes
tom-hayes,yes
brian-hayes,yes
martin-heydon,yes
phil-hogan,yes
kevin-humphreys,yes
heather-humphreys,yes
derek-keating,yes
paul-kehoe,yes
alan-kelly,yes
sean-kenny,yes
sean-kyne,yes
anthony-lawlor,yes
ciaran-lynch,yes
kathleen-lynch,yes
john-lyons,yes
eamonn-maloney,yes
peter-mathews,yes
michael-mccarthy,yes
shane-mcentee,yes
dinny-mcginley,yes
joe-mchugh,yes
tony-mcloughlin,yes
michael-mcnamara,yes
olivia-mitchell,yes
mary-mitchell-o-connor,yes
michelle-mulherin,yes
dara-murphy,yes
eoghan-murphy,yes
gerald-nash,yes
dan-neville,yes
derek-nolan,yes
kieran-o-donnell,yes
patrick-o-donovan,yes
john-o-mahony,yes
joe-o-reilly,yes
aodhan-o-r-ordain,yes
john-perry,yes
john-paul-phelan,yes
ann-phelan,yes
ruairi-quinn,yes
pat-rabbitte,yes
james-reilly,yes
michael-ring,yes
brendan-ryan,yes
sean-sherlock,yes
arthur-spring,yes
emmet-stagg,yes
david-stanton,yes
billy-godfrey-timmins,yes
joanna-tuffy,yes
liam-twomey,yes
jack-wall,yes
brian-walsh,yes
alex-white,yes
gerry-adams,no
richard-boyd-barrett,no
tommy-broughan,no
john-browne,no
dara-calleary,no
niall-collins,no
joan-collins,no
michael-colreavy,no
barry-cowen,no
sean-crowe,no
clare-daly,no
pearse-doherty,no
stephen-donnelly,no
timmy-dooley,no
dessie-ellis,no
luke-ming-flanagan,no
tom-fleming,no
noel-grealish,no
john-halligan,no
seamus-healy,no
michael-healy-rae,no
joe-higgins,no
colm-keaveney,no
billy-kelleher,no
seamus-kirk,no
michael-p-kitt,no
michael-lowry,no
micheal-martin,no
charlie-mcconalogue,no
mary-lou-mcdonald,no
michael-mcgrath,no
mattie-mcgrath,no
finian-mcgrath,no
john-mcguinness,no
sandra-mclellan,no
catheine-murphy,no
denis-naughten,no
patrick-nulty,no
jonathan-o-brien,no
caoimhgh-n-o-caolain,no
eamon-o-c-iv,no
willie-o-dea,no
sean-o-fearghail,no
aengus-o-snodaigh,no
maureen-o-sullivan,no
thomas-pringle,no
shane-peter-nathaniel-ross,no
roisin-shortall,no
brendan-smith,no
brian-stanley,no
peadar-t-ib-n,no
robert-troy,no
mick-wallace,no
-ine-collins,absent
alan-shatter,absent
anne-ferris,absent
brendan-howlin,absent
ciaran-cannon,absent
enda-kenny,absent
fergus-o-dowd,absent
jan-o-sullivan,absent
leo-varadkar,absent
lucinda-creighton,absent
martin-ferris,absent
michael-moynihan,absent
michael-noonen,absent
nicky-mcfadden,absent
richard-bruton,absent
sean-barrett,absent
terence-flanagan,absent
willie-penrose,absent
