james-bannon,yes
pat-breen,yes
john-browne,yes
richard-bruton,yes
ray-butler,yes
jerry-buttimer,yes
catherine-byrne,yes
eric-byrne,yes
dara-calleary,yes
joe-carey,yes
paudie-coffey,yes
michael-conaghan,yes
sean-conlan,yes
paul-connaughton,yes
ciara-conway,yes
noel-coonan,yes
marcella-corcoran-kennedy,yes
simon-coveney,yes
barry-cowen,yes
michael-creed,yes
jim-daly,yes
john-deasy,yes
jimmy-deenihan,yes
regina-doherty,yes
paschal-donohoe,yes
timmy-dooley,yes
robert-dowds,yes
andrew-doyle,yes
damien-english,yes
alan-farrell,yes
frank-feighan,yes
charles-flanagan,yes
eamon-gilmore,yes
brendan-griffin,yes
noel-harrington,yes
simon-harris,yes
brian-hayes,yes
tom-hayes,yes
martin-heydon,yes
phil-hogan,yes
heather-humphreys,yes
kevin-humphreys,yes
derek-keating,yes
paul-kehoe,yes
billy-kelleher,yes
sean-kenny,yes
michael-p-kitt,yes
sean-kyne,yes
john-lyons,yes
dinny-mcginley,yes
michael-mcgrath,yes
tony-mcloughlin,yes
olivia-mitchell,yes
mary-mitchell-o-connor,yes
eamonn-maloney,yes
micheal-martin,yes
peter-mathews,yes
eoghan-murphy,yes
gerald-nash,yes
dan-neville,yes
derek-nolan,yes
michael-noonen,yes
eamon-o-c-iv,yes
sean-o-fearghail,yes
aodhan-o-r-ordain,yes
willie-o-dea,yes
kieran-o-donnell,yes
patrick-o-donovan,yes
john-o-mahony,yes
joe-o-reilly,yes
ann-phelan,yes
john-paul-phelan,yes
pat-rabbitte,yes
james-reilly,yes
michael-ring,yes
brendan-ryan,yes
brendan-smith,yes
arthur-spring,yes
emmet-stagg,yes
billy-godfrey-timmins,yes
robert-troy,yes
joanna-tuffy,yes
liam-twomey,yes
jack-wall,yes
brian-walsh,yes
gerry-adams,no
tommy-broughan,no
joan-collins,no
michael-colreavy,no
clare-daly,no
pearse-doherty,no
dessie-ellis,no
luke-ming-flanagan,no
tom-fleming,no
noel-grealish,no
john-halligan,no
seamus-healy,no
joe-higgins,no
padraig-maclochlainn,no
finian-mcgrath,no
mattie-mcgrath,no
sandra-mclellan,no
catheine-murphy,no
patrick-nulty,no
caoimhgh-n-o-caolain,no
aengus-o-snodaigh,no
jonathan-o-brien,no
maureen-o-sullivan,no
shane-peter-nathaniel-ross,no
roisin-shortall,no
brian-stanley,no
peadar-t-ib-n,no
mick-wallace,no
-ine-collins,absent
alan-kelly,absent
alan-shatter,absent
alex-white,absent
anne-ferris,absent
anthony-lawlor,absent
bernard-durkan,absent
brendan-howlin,absent
charlie-mcconalogue,absent
ciaran-cannon,absent
ciaran-lynch,absent
colm-keaveney,absent
denis-naughten,absent
dominic-hannigan,absent
enda-kenny,absent
fergus-o-dowd,absent
frances-fitzgerald,absent
jan-o-sullivan,absent
joan-burton,absent
joe-costello,absent
joe-mchugh,absent
john-mcguinness,absent
kathleen-lynch,absent
leo-varadkar,absent
lucinda-creighton,absent
martin-ferris,absent
michael-healy-rae,absent
michael-lowry,absent
michael-mcnamara,absent
michael-moynihan,absent
michelle-mulherin,absent
nicky-mcfadden,absent
peter-fitzpatrick,absent
richard-boyd-barrett,absent
ruairi-quinn,absent
seamus-kirk,absent
sean-barrett,absent
sean-fleming,absent
sean-sherlock,absent
shane-mcentee,absent
stephen-donnelly,absent
terence-flanagan,absent
thomas-pringle,absent
tom-barry,absent
willie-penrose,absent
