james-bannon,yes
tom-barry,yes
pat-breen,yes
richard-bruton,yes
joan-burton,yes
ray-butler,yes
jerry-buttimer,yes
eric-byrne,yes
joe-carey,yes
paudie-coffey,yes
-ine-collins,yes
michael-conaghan,yes
sean-conlan,yes
paul-connaughton,yes
ciara-conway,yes
noel-coonan,yes
marcella-corcoran-kennedy,yes
simon-coveney,yes
michael-creed,yes
jim-daly,yes
john-deasy,yes
jimmy-deenihan,yes
pat-deering,yes
regina-doherty,yes
paschal-donohoe,yes
robert-dowds,yes
andrew-doyle,yes
bernard-durkan,yes
damien-english,yes
alan-farrell,yes
frank-feighan,yes
frances-fitzgerald,yes
peter-fitzpatrick,yes
charles-flanagan,yes
eamon-gilmore,yes
brendan-griffin,yes
dominic-hannigan,yes
noel-harrington,yes
simon-harris,yes
tom-hayes,yes
martin-heydon,yes
heather-humphreys,yes
kevin-humphreys,yes
derek-keating,yes
paul-kehoe,yes
enda-kenny,yes
sean-kenny,yes
sean-kyne,yes
anthony-lawlor,yes
ciaran-lynch,yes
kathleen-lynch,yes
john-lyons,yes
michael-mccarthy,yes
nicky-mcfadden,yes
dinny-mcginley,yes
michael-mcnamara,yes
eamonn-maloney,yes
peter-mathews,yes
olivia-mitchell,yes
mary-mitchell-o-connor,yes
michelle-mulherin,yes
eoghan-murphy,yes
gerald-nash,yes
dan-neville,yes
derek-nolan,yes
aodhan-o-r-ordain,yes
kieran-o-donnell,yes
patrick-o-donovan,yes
fergus-o-dowd,yes
john-o-mahony,yes
jan-o-sullivan,yes
NOT FOUND: WilliamPenrose,yes
john-perry,yes
ann-phelan,yes
john-paul-phelan,yes
ruairi-quinn,yes
pat-rabbitte,yes
james-reilly,yes
brendan-ryan,yes
alan-shatter,yes
sean-sherlock,yes
arthur-spring,yes
emmet-stagg,yes
david-stanton,yes
billy-godfrey-timmins,yes
joanna-tuffy,yes
jack-wall,yes
gerry-adams,no
richard-boyd-barrett,no
tommy-broughan,no
joan-collins,no
niall-collins,no
michael-colreavy,no
barry-cowen,no
sean-crowe,no
clare-daly,no
pearse-doherty,no
timmy-dooley,no
dessie-ellis,no
martin-ferris,no
sean-fleming,no
tom-fleming,no
seamus-healy,no
michael-healy-rae,no
billy-kelleher,no
seamus-kirk,no
michael-p-kitt,no
padraig-maclochlainn,no
charlie-mcconalogue,no
mary-lou-mcdonald,no
finian-mcgrath,no
michael-mcgrath,no
john-mcguinness,no
sandra-mclellan,no
micheal-martin,no
michael-moynihan,no
catheine-murphy,no
denis-naughten,no
patrick-nulty,no
eamon-o-c-iv,no
sean-o-fearghail,no
aengus-o-snodaigh,no
jonathan-o-brien,no
willie-o-dea,no
thomas-pringle,no
shane-peter-nathaniel-ross,no
roisin-shortall,no
brendan-smith,no
brian-stanley,no
peadar-t-ib-n,no
robert-troy,no
mick-wallace,no
alan-kelly,absent
anne-ferris,absent
brendan-howlin,absent
brian-hayes,absent
brian-walsh,absent
caoimhgh-n-o-caolain,absent
catherine-byrne,absent
ciaran-cannon,absent
dara-calleary,absent
dara-murphy,absent
joe-costello,absent
joe-higgins,absent
joe-mchugh,absent
john-browne,absent
john-halligan,absent
leo-varadkar,absent
liam-twomey,absent
lucinda-creighton,absent
luke-ming-flanagan,absent
mattie-mcgrath,absent
michael-lowry,absent
michael-noonen,absent
michael-ring,absent
phil-hogan,absent
sean-barrett,absent
shane-mcentee,absent
willie-penrose,absent
