james-bannon,yes
tom-barry,yes
richard-bruton,yes
joan-burton,yes
ray-butler,yes
jerry-buttimer,yes
catherine-byrne,yes
eric-byrne,yes
joe-carey,yes
paudie-coffey,yes
michael-conaghan,yes
sean-conlan,yes
paul-connaughton,yes
ciara-conway,yes
noel-coonan,yes
marcella-corcoran-kennedy,yes
simon-coveney,yes
michael-creed,yes
jim-daly,yes
pat-deering,yes
regina-doherty,yes
robert-dowds,yes
andrew-doyle,yes
bernard-durkan,yes
damien-english,yes
frank-feighan,yes
frances-fitzgerald,yes
peter-fitzpatrick,yes
eamon-gilmore,yes
brendan-griffin,yes
dominic-hannigan,yes
noel-harrington,yes
simon-harris,yes
brian-hayes,yes
tom-hayes,yes
martin-heydon,yes
phil-hogan,yes
brendan-howlin,yes
heather-humphreys,yes
kevin-humphreys,yes
derek-keating,yes
colm-keaveney,yes
paul-kehoe,yes
alan-kelly,yes
enda-kenny,yes
sean-kenny,yes
sean-kyne,yes
anthony-lawlor,yes
ciaran-lynch,yes
kathleen-lynch,yes
john-lyons,yes
peter-mathews,yes
michael-mccarthy,yes
joe-mchugh,yes
tony-mcloughlin,yes
michael-mcnamara,yes
mary-mitchell-o-connor,yes
michelle-mulherin,yes
dara-murphy,yes
eoghan-murphy,yes
dan-neville,yes
derek-nolan,yes
aodhan-o-r-ordain,yes
patrick-o-donovan,yes
john-o-mahony,yes
john-perry,yes
ann-phelan,yes
brendan-ryan,yes
alan-shatter,yes
arthur-spring,yes
emmet-stagg,yes
david-stanton,yes
joanna-tuffy,yes
jack-wall,yes
brian-walsh,yes
alex-white,yes
gerry-adams,no
richard-boyd-barrett,no
tommy-broughan,no
dara-calleary,no
joan-collins,no
niall-collins,no
michael-colreavy,no
barry-cowen,no
sean-crowe,no
clare-daly,no
pearse-doherty,no
stephen-donnelly,no
timmy-dooley,no
dessie-ellis,no
martin-ferris,no
luke-ming-flanagan,no
sean-fleming,no
noel-grealish,no
john-halligan,no
seamus-healy,no
michael-healy-rae,no
billy-kelleher,no
michael-p-kitt,no
padraig-maclochlainn,no
micheal-martin,no
charlie-mcconalogue,no
mary-lou-mcdonald,no
finian-mcgrath,no
mattie-mcgrath,no
michael-mcgrath,no
sandra-mclellan,no
michael-moynihan,no
catheine-murphy,no
patrick-nulty,no
eamon-o-c-iv,no
sean-o-fearghail,no
aengus-o-snodaigh,no
jonathan-o-brien,no
willie-o-dea,no
thomas-pringle,no
roisin-shortall,no
brendan-smith,no
brian-stanley,no
peadar-t-ib-n,no
robert-troy,no
mick-wallace,no
-ine-collins,absent
alan-farrell,absent
anne-ferris,absent
billy-godfrey-timmins,absent
caoimhgh-n-o-caolain,absent
charles-flanagan,absent
ciaran-cannon,absent
denis-naughten,absent
dinny-mcginley,absent
eamonn-maloney,absent
fergus-o-dowd,absent
gerald-nash,absent
james-reilly,absent
jan-o-sullivan,absent
jimmy-deenihan,absent
joe-costello,absent
joe-higgins,absent
joe-o-reilly,absent
john-browne,absent
john-deasy,absent
john-mcguinness,absent
john-paul-phelan,absent
kieran-o-donnell,absent
leo-varadkar,absent
liam-twomey,absent
lucinda-creighton,absent
maureen-o-sullivan,absent
michael-lowry,absent
michael-noonen,absent
michael-ring,absent
nicky-mcfadden,absent
olivia-mitchell,absent
paschal-donohoe,absent
pat-breen,absent
pat-rabbitte,absent
ruairi-quinn,absent
seamus-kirk,absent
sean-barrett,absent
sean-sherlock,absent
shane-mcentee,absent
shane-peter-nathaniel-ross,absent
terence-flanagan,absent
tom-fleming,absent
willie-penrose,absent
