james-bannon,yes
tom-barry,yes
pat-breen,yes
tommy-broughan,yes
richard-bruton,yes
joan-burton,yes
ray-butler,yes
jerry-buttimer,yes
eric-byrne,yes
catherine-byrne,yes
ciaran-cannon,yes
joe-carey,yes
paudie-coffey,yes
-ine-collins,yes
michael-conaghan,yes
sean-conlan,yes
paul-connaughton,yes
ciara-conway,yes
noel-coonan,yes
marcella-corcoran-kennedy,yes
joe-costello,yes
simon-coveney,yes
michael-creed,yes
NOT FOUND: LucindaCreighton,yes
jim-daly,yes
john-deasy,yes
jimmy-deenihan,yes
pat-deering,yes
regina-doherty,yes
stephen-donnelly,yes
paschal-donohoe,yes
robert-dowds,yes
andrew-doyle,yes
bernard-durkan,yes
damien-english,yes
alan-farrell,yes
frank-feighan,yes
frances-fitzgerald,yes
charles-flanagan,yes
terence-flanagan,yes
eamon-gilmore,yes
brendan-griffin,yes
dominic-hannigan,yes
noel-harrington,yes
simon-harris,yes
tom-hayes,yes
brian-hayes,yes
martin-heydon,yes
kevin-humphreys,yes
heather-humphreys,yes
derek-keating,yes
colm-keaveney,yes
paul-kehoe,yes
alan-kelly,yes
sean-kenny,yes
enda-kenny,yes
sean-kyne,yes
anthony-lawlor,yes
ciaran-lynch,yes
kathleen-lynch,yes
john-lyons,yes
michael-mccarthy,yes
shane-mcentee,yes
nicky-mcfadden,yes
dinny-mcginley,yes
joe-mchugh,yes
tony-mcloughlin,yes
michael-mcnamara,yes
eamonn-maloney,yes
peter-mathews,yes
olivia-mitchell,yes
mary-mitchell-o-connor,yes
michelle-mulherin,yes
dara-murphy,yes
eoghan-murphy,yes
gerald-nash,yes
denis-naughten,yes
dan-neville,yes
derek-nolan,yes
patrick-nulty,yes
aodhan-o-r-ordain,yes
kieran-o-donnell,yes
patrick-o-donovan,yes
fergus-o-dowd,yes
john-o-mahony,yes
joe-o-reilly,yes
jan-o-sullivan,yes
NOT FOUND: WilliamPenrose,yes
john-perry,yes
john-paul-phelan,yes
ann-phelan,yes
ruairi-quinn,yes
pat-rabbitte,yes
james-reilly,yes
michael-ring,yes
brendan-ryan,yes
sean-sherlock,yes
roisin-shortall,yes
arthur-spring,yes
emmet-stagg,yes
david-stanton,yes
billy-godfrey-timmins,yes
joanna-tuffy,yes
liam-twomey,yes
NOT FOUND: LeoVaradkar,yes
jack-wall,yes
brian-walsh,yes
alex-white,yes
gerry-adams,no
richard-boyd-barrett,no
john-browne,no
dara-calleary,no
niall-collins,no
joan-collins,no
michael-colreavy,no
barry-cowen,no
sean-crowe,no
clare-daly,no
pearse-doherty,no
dessie-ellis,no
martin-ferris,no
luke-ming-flanagan,no
tom-fleming,no
sean-fleming,no
noel-grealish,no
john-halligan,no
seamus-healy,no
michael-healy-rae,no
joe-higgins,no
billy-kelleher,no
seamus-kirk,no
michael-p-kitt,no
michael-lowry,no
padraig-maclochlainn,no
charlie-mcconalogue,no
mary-lou-mcdonald,no
michael-mcgrath,no
mattie-mcgrath,no
finian-mcgrath,no
john-mcguinness,no
sandra-mclellan,no
micheal-martin,no
michael-moynihan,no
catheine-murphy,no
caoimhgh-n-o-caolain,no
eamon-o-c-iv,no
sean-o-fearghail,no
aengus-o-snodaigh,no
jonathan-o-brien,no
willie-o-dea,no
thomas-pringle,no
shane-peter-nathaniel-ross,no
brendan-smith,no
brian-stanley,no
peadar-t-ib-n,no
robert-troy,no
mick-wallace,no
alan-shatter,absent
anne-ferris,absent
brendan-howlin,absent
leo-varadkar,absent
lucinda-creighton,absent
michael-noonen,absent
phil-hogan,absent
sean-barrett,absent
timmy-dooley,absent
willie-penrose,absent
